UID,ObsDate,Log,Observer,Time,Male1ID,FemID,Bird2ID,FemOnOff,FemUpDown,Behavior,MaleOtherBeh1
42,9/12/2017,First,NC,80.979,965,NA,NA,Female Off Log,NA,Male1 HeadDownBowing,
42,9/12/2017,First,NC,82.984,965,NA,NA,Female Off Log,NA,Male1 On Log No Display,
42,9/12/2017,First,NC,92.983,965,NA,NA,Female Off Log,NA,Male1 On Log No Display,
42,9/12/2017,First,NC,92.983,965,NA,NA,Female Off Log,NA,Male1 Other Behavior,Gardening
42,9/12/2017,First,NC,94.056,965,NA,NA,Female Off Log,NA,Male1 Other Behavior,Gardening
42,9/12/2017,First,NC,96.234,965,NA,NA,Female Off Log,NA,Male1 On Log No Display,
42,9/12/2017,First,NC,103.007,965,NA,NA,Female Off Log,NA,Male1 Other Behavior,Gardening
42,9/12/2017,First,NC,104.841,965,NA,NA,Female Off Log,NA,Male1 On Log No Display,
42,9/12/2017,First,NC,108.514,965,NA,NA,Female Off Log,NA,Male1 On Log No Display,
42,9/12/2017,First,NC,128.031,965,NA,NA,Female Off Log,NA,Male1 Mixed Element,
42,9/12/2017,First,NC,128.787,965,NA,NA,Female Off Log,NA,Male1 BowRight,
42,9/12/2017,First,NC,129.539,965,NA,NA,Female Off Log,NA,Male1 BowLeft,
42,9/12/2017,First,NC,130.047,965,NA,NA,Female Off Log,NA,Male1 BowRight,
42,9/12/2017,First,NC,131.285,965,NA,NA,Female Off Log,NA,Male1 Half-bow Left,
42,9/12/2017,First,NC,138.546,965,NA,NA,Female Off Log,NA,Male1 ALAD,
42,9/12/2017,First,NC,140.547,965,NA,NA,Female Off Log,NA,Male1 HeadDownBowing,
42,9/12/2017,First,NC,143.542,965,NA,NA,Female Off Log,NA,Male1 On Log No Display,
42,9/12/2017,First,NC,147.793,965,NA,NA,Female Off Log,NA,Male1 On Log No Display,
42,9/12/2017,First,NC,164.807,965,NA,NA,Female Off Log,NA,Male1 On Log No Display,
42,9/12/2017,First,NC,194.098,965,NA,NA,Female Off Log,NA,Male1 SLAD,
