UID,Category,maleID,femID,b2ID,hasFemOn,hasFemAction,hasAttCop,hasCop,hasMaleFem,hasB2Action,hasMaleB2
1732,SOLO,296,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1742,AUDI,296,8200,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
1744,SOLO,296,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1745,SOLO,296,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1746,SOLO,296,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1747,SOLO,296,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1750,SOLO,296,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1751,AUDI,296,8200,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
1761,SOLO,296,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1762,SOLO,296,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1766,AUDI,296,8200,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
1768,SOLO,296,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1770,AUDI,112,8200,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
1772,AUDI,112,935,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
1786,SOLO,296,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1787,SOLO,296,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1788,AUDI,296,935,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
1789,AUDI,296,8200,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
1795,SOLO,296,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1804,SOLO,112,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1817,COP,296,8200,,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
1822,SOLO,296,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1824,COP,296,959,,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
1826,SOLO,296,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1827,SOLO,296,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1846,SOLO,296,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1850,SOLO,296,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1852,SOLO,296,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1856,SOLO,112,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1857,AUDI,112,118,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
1868,SOLO,296,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1878,COP,296,295,,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
1880,SOLO,296,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1883,SOLO,296,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1884,SOLO,296,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1887,SOLO,296,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1889,SOLO,296,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1890,SOLO,112,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1892,SOLO,112,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1893,SOLO,112,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1907,AUDI,296,8300,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
1911,SOLO,296,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1913,SOLO,296,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1914,AUDI,296,8400,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
1915,MULT,296,990,,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
1916,AUDI,296,8400,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
1917,SOLO,296,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1918,SOLO,296,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1919,SOLO,296,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1920,COP,296,936,,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
1921,SOLO,296,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1922,MULT,112,990,8300,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
1924,SOLO,112,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1928,SOLO,112,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1933,SOLO,296,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1934,SOLO,296,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1935,SOLO,296,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1936,AUDI,296,8400,,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
1939,SOLO,296,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1940,SOLO,296,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1947,SOLO,112,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1962,AUDI,296,8400,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
1964,SOLO,296,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1965,AUDI,296,8400,8300,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
1966,AUDI,296,8400,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
1969,AUDI,112,8400,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
1970,AUDI,112,8300,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
1974,SOLO,112,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1984,SOLO,296,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1987,COP,296,8200,,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
1988,SOLO,296,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1999,SOLO,296,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2003,SOLO,296,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2005,SOLO,296,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2010,SOLO,980,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2017,MULT,296,990,,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
2018,SOLO,296,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2020,COP,296,8200,,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
2032,AUDI,112,981,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
2045,SOLO,296,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2047,SOLO,296,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2050,SOLO,296,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2054,SOLO,980,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2058,AUDI,112,289,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
2059,AUDI,112,289,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
2061,SOLO,112,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2064,SOLO,296,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2067,SOLO,296,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2069,SOLO,296,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2070,SOLO,296,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
